addr_of_building_in_chn,addr_of_building_in_eng,name_of_ocomm_in_chn,name_of_ocomm_in_eng
香港島中西區蒲飛路23號翰林軒第一座,"TOWER 1, TOWER 1, NO.23, POKFIELD ROAD, UNIVERSITY HEIGHTS, CENTRAL AND WESTERN, HONG KONG",翰林軒業主委員會,UNIVERSITY HEIGHTS OWNERS' COMMITTEE
九龍九龍城區太子道302-302A號藍馬豪庭,"Lamma Palalce, NO.302-302A, PRINCE EDWARD ROAD, KOWLOON CITY, KOWLOON",藍馬豪庭業主委員會,OWNERS' COMMITTE OF THE LAMMA PALACE
九龍九龍城區譚公道16-26號長城大廈,"GREAT WALL BUILDING, NO.16-26, TAM KUNG ROAD, KOWLOON CITY, KOWLOON",長城購物中心業主委員會,GREAT WALL SHOPPING CENTRE OWNERS' COMMITTEE
九龍九龍城區喇沙利道8號傲名,"8 LA SALLE ROAD, NO.8, LA SALLE  ROAD, KOWLOON CITY, KOWLOON",傲名業主委員會,OWNERS' COMMITEE OF 8 LA SALLE ROAD
新界葵青區葵樂街2-28號裕林工業中心A座,"BLOCK A, BLOCK A, NO.2-28, KWAI LOK STREET, YEE LIM INDUSTRIAL CENTRE, KWAI TSING, NEW TERRITORIES",裕林工業中心業主委員會,OWNERS' COMMITTEE OF YEE LIM INDUSTRIAL CENTRE
新界元朗區德業街11號映御,"NO.11, TAK YIP STREET, TWIN REGENCY, YUEN LONG, NEW TERRITORIES",映御業主委員會,TWIN REGENCY OWNER'S COMMITTEE
九龍深水埗區元州街174-188號鴻裕大廈鴻裕大廈(天悅廣場),"HUNG YU MANSION (Smiling Plaza), NO.174-188, UN CHAU STREET, HUNG YU MANSION, SHAM SHUI PO, KOWLOON",天悅廣場業主委員會,
新界西貢區唐賢街33號Capri,"Capri, NO.33, TONG YIN STREET, SAI KUNG, NEW TERRITORIES",Capri 業主委員會,CAPRI OWNERS’ COMMITTEE
新界西貢區唐賢街23號帝景灣,"Corinthia by the Sea, NO.23, TONG YIN STREET, SAI KUNG, NEW TERRITORIES",帝景灣業主委員會,OWNERS’ COMMITTEE OF CORINTHIA BY THE SEA
新界西貢區唐賢街19號天晉IIIA,"The Wings IIIA, NO.19, TONG YIN STREET, SAI KUNG, NEW TERRITORIES",天晉IIIA 業主委員會,THE WINGS IIIA OWNERS' COMMITTEE
香港島灣仔區伊榮街9號欣榮商業大廈,"Progress Commercial Building, NO.9, IRVING STREET, WAN CHAI, HONG KONG",欣榮商業大廈業主委員會,PROGRESS COMMERCIAL BUILDING OWNERS' COMMITTEE
香港島灣仔區天后廟道18-A號柏傲山,"The Pavilia Hill, NO.18A, TIN HAU TEMPLE ROAD, WAN CHAI, HONG KONG",柏傲山業主委員會,THE PAVILIA HILL OWNERS' COMMITTEE
香港島灣仔區大坑徑23號名門顯名殿,"The Legend Tower 1, NO.23, TAI HANG DRIVE, THE LEGEND, WAN CHAI, HONG KONG",渣甸山名門業主委員會,THE LEGEND AT JARDINE'S LOOKOUT OWNERS' COMMITTEE
新界離島區迎康街 6號第2期東環 第1A座,"PHASE 2, Tower 1A, NO.6, YING HONG STREET, CENTURY LINK , ISLANDS, NEW TERRITORIES",東環業主委員會,THE OWNERS' COMMITTEE OF CENTURY LINK
新界元朗區映河路一號 爾巒,"1 YING HO ROAD , RIVA , YUEN LONG, NEW TERRITORIES",爾巒業主委員會,RIVA OWNERS' COMMITTEE
新界離島區堤畔徑  18號悅堤 第L1座,"BLOCK L1, 9 Cape Lagoon, NO.18, BAYSIDE DRIVE  , POSITANO , ISLANDS, NEW TERRITORIES",悅堤業主委員會,POSITANO OWNERS’ COMMITTEE
九龍深水埗區西洋菜北街468號景怡峯,"GARDENIA, NO.468, SAI YEUNG CHOI STREET NORTH, SHAM SHUI PO, KOWLOON",景怡峯業主委員會,THE OWNERS' COMMITTEE OF GARDENIA
九龍油尖旺區奶路臣街17號,"Sky Park, NO.17, NELSON STREET, YAU TSIM MONG, KOWLOON",SKYPARK 業主委員會,SKYPARK OWNERS' COMMITTEE
新界荃灣區沙咀道376號 尚翠苑  A 座,"BLOCK A, NO.376, SHA TSUI ROAD, SHEUNG CHUI COURT , TSUEN WAN, NEW TERRITORIES",尚翠苑業主委員會,SHEUNG CHUI COURT OWNERS' COMMITTEE
香港島中西區皇后街1號帝后華庭第一座,"TOWER I, TOWER I, NO.1, QUEEN'S STREET, QUEEN'S TERRACE, CENTRAL AND WESTERN, HONG KONG",帝后華庭業主委員會,THE OWNERS' COMMITTEE OF QUEEN'S TERRACE
香港島南區鴨脷洲大街68號倚南,"H • BONAIRE, NO.68, MAIN STREET AP LEI CHAU, SOUTHERN, HONG KONG",倚南業主委員會,
香港島中西區地利根德里1號世紀大廈一座,"TOWER 1, TOWER 1, NO.1, TREGUNTER PATH, CENTURY TOWERS, CENTRAL AND WESTERN, HONG KONG",世紀大廈業主委員會,CENTURY TOWERS OWNERS' COMMITTEE
香港島中西區西摩道33號瀚然,"AREZZO, NO.33, SEYMOUR ROAD, CENTRAL AND WESTERN, HONG KONG",瀚然業主委員會,THE OWNERS' COMMITTEE OF AREZZO
香港中西區西摩道2A號蔚然,"AZURA, NO.2A, SEYMOUR ROAD, CENTRAL AND WESTERN, HONG KONG",蔚然業主委員會,THE OWNERS' COMMITTEE OF AZURA
香港島中西區堅尼地城新海傍38號泓都1座,"BLOCK 1, BLOCK 1, NO.38, KENNEDY TOWN NEW PRAYA, THE MERTON, CENTRAL AND WESTERN, HONG KONG",泓都業主委員會,THE OWNERS' COMMITTEE OF THE MERTON
九龍九龍城區延文禮士道38號賢文禮士 第一座,"BLOCK 1, NO.38, INVERNESS ROAD, PARC INVERNESS , KOWLOON CITY, KOWLOON",賢文禮士業主委員會,OWNERS' COMMITTEE OF PARC INVERNESS
新界元朗區擴業街8號朗屏8號第一座,"The Spectra Tower 1, NO.8, YUEN LONG, NEW TERRITORIES",朗屏8號業主委員會,THE SPECTRA
九龍九龍城區劍橋道7-9號,"NO.7-9, CAMBRIDGE ROAD, KOWLOON CITY, KOWLOON",劍橋道7-9號業主委員會,"OWNERS' COMMITTEE OF 7-9, CAMBRIDGE ROAD"
九龍九龍城區沐寧街2號一期啟德一號 低座第一座,"BLOCK 1, PHASE I, NO.2, MUK NING STREET, ONE KAI TAK  , KOWLOON CITY, KOWLOON",啟德一號一期業主委員會,OWNERS' COMMITTEE OF ONE KAI TAK PHASE I
九龍九龍城區沐寧街8號二期啟德一號 低座第十六座,"BLOCK 16, PHASE II, NO.8, MUK NING STREET, ONE KAI TAK  , KOWLOON CITY, KOWLOON",啟德一號二期業主委員會,OWNERS' COMMITTEE OF ONE KAI TAK PHASE II
香港島南區鴨脷洲徑8號南區．左岸第1座,"TOWER 1, Marina South, NO.8, AP LEI CHAU DRIVE, SOUTHERN, HONG KONG",南區．左岸業主委員會,
新界屯門區康寶路88號茵翠豪庭,"NO.88, HONG PO ROAD, TUEN MUN, NEW TERRITORIES",茵翠豪庭業主委員會,VILLA PINADA OWNERS COMMITTEE
九龍深水埗區大埔道188號曉尚,"High Point, NO.188, TAI PO ROAD, SHAM SHUI PO, KOWLOON",曉尚業主委員會,OWNERS' COMMITTEE OF HIGH POINT
香港島南區香港仔大道208號裕輝商業中心,"Yue Fai Commercial Center, NO.208, ABERDEEN MAIN ROAD, SOUTHERN, HONG KONG",裕輝商業中心業主委員會,YUE FAI COMMERCIAL CENTER OWNERS' COMMITTEE
香港島南區黃竹坑道50號W50,"W50, NO.50, WONG CHUK HANG ROAD, SOUTHERN, HONG KONG",W50業主委員會,W50 OWNERS' COMMITTEE
香港島中西區干德道31號敦皓,"THE MORGAN, NO.31, CONDUIT ROAD, CENTRAL AND WESTERN, HONG KONG",敦皓業主委員會,THE OWNERS' COMMITTEE OF THE MORGAN
新界屯門區掃管笏管青路2號愛琴海岸,"Aegean Coast, SO KWUN WAT, TUEN MUN, NEW TERRITORIES",愛琴海岸業主委員會,
新界離島區津堤徑8號愉景灣津堤第一座,"BLOCK 1, Amalfi, DISCOVERY BAY, ISLANDS, NEW TERRITORIES",津堤業主委員會,AMALFI VILLAGE OWNERS' COMMITTEE
九龍九龍城區漆咸道北388號昇御門第1座,"TOWER 1, TOWER 1, NO.388, CHATHAM ROAD NORTH, CHATHAM GATE, KOWLOON CITY, KOWLOON",昇御門業主委員會,CHATHAM GATE OWNERS' COMMITTEE
新界元朗區安寧路38號世宙第三座,"Yuccie Square Tower 3, NO.38, ON NING ROAD, YUEN LONG, NEW TERRITORIES",世宙業主委員會,YUCCIE SQUARE OWNERS' COMMITTEE
新界屯門區德政圍18號海盛大廈,"Hoi Shing Building, NO.18, TAK CHING COURT, TUEN MUN, NEW TERRITORIES",海盛大廈業主委員會,HOI SHING BUILDING ONWERS' COMMITTEE
九龍觀塘區崇耀街9號,"Peninsula East, NO.9, KWUN TONG, KOWLOON",,PENINSULA EAST OWNERS' COMMITTEE
九龍深水埗區荔枝角道873號一號.西九龍 1座,"Block 1, NO.873, LAI CHI KOK ROAD, ONE WEST KOWLOON  , SHAM SHUI PO, KOWLOON",一號.西九龍業主委員會,ONE WEST KOWLOON OWNERS' COMMITTEE
香港島灣仔區重士街8號雋琚,"Jones Hive, NO.8, WAN CHAI, HONG KONG",雋琚業主委員會,THE OWNERS' COMMITTEE OF JONES HIVE
九龍九龍城區常富街1號One Homantin,"TOWER 1,2,3,5,6,7, NO.1, KOWLOON CITY, KOWLOON",何文田一號業主委員會,ONE HOMANTIN OWNERS' COMMITTEE
九龍九龍城區常盛街28號皓畋,"Mantin Heights, NO.28, SHEUNG SHING STREET, KOWLOON CITY, KOWLOON",皓畋業主委員會,MANTIN HEIGHTS OWNERS COMMITTEE
香港島灣仔區皇后大道東200號1期囍匯5座,"TOWER 1,  PHASE 1, The Avenue, NO.200, QUEEN'S ROAD EAST, WAN CHAI, HONG KONG",囍匯業主委員會,THE OWNERS COMMITTEE OF THE AVENUE
新界屯門區屯門鄉事會路88號天生樓,"The Parkville, NO.88, TUEN MUN HEUNG SZE WUI ROAD, TUEN MUN, NEW TERRITORIES",The Parkville 業主委員會,THE PARKVILLE OWNERS' COMMITTEE
九龍深水埗區深旺道28號匯璽2A期月鑽匯,"Cullinan West Phase 2A Luna Sky Mansion, NO.28, SHAM MONG ROAD, SHAM SHUI PO, KOWLOON",匯璽發展項目業主委員會,CULLINAN WEST DEVELOPMENT OWNERS’ COMMITTEE
新界屯門區海榮路9號萬能閣,"My Loft, TUEN MUN, NEW TERRITORIES",萬能閣業主委員會,OWNERS' COMMITTEE OF MY LOFT
新界屯門區青發街28號浪濤灣,"Aqua Blue, TUEN MUN, NEW TERRITORIES",浪濤灣業主委員會,OWNERS' COMMITTEE OF AQUA BLUE
新界屯門區掃管笏管翠路1號星堤,"Avignon, SO KWUN WAT, TUEN MUN, NEW TERRITORIES",星堤業主委員會,THE OWNERS' COMMITTEE OF AVIGNON
九龍九龍城區 沐寧街7號嘉匯 第一座,"TOWER 1, NO.7, MUK NING STREET, K. CITY, KOWLOON CITY, KOWLOON",嘉匯業主委員會,THE OWNERS' COMMITTEE OF K. CITY
新界沙田區穗禾路33-35號渣甸山花園 A1座,"HOUSE A1, NO.33-35, SUI WO ROAD, VILLE DE JARDIN, SHA TIN, NEW TERRITORIES",渣甸山花園業主委員會,VILLE DE JARDIN OWNERS' COMMITTEE
新界沙田區彩沙街 1號星漣海 第1座,"Tower 1, NO.1, CHOI SHA STREET , SEANORAMA , SHA TIN, NEW TERRITORIES",星漣海業主委員會,OWNERS' COMMITTEE OF SEANORAMA
新界沙田區恆光街 15號薈晴第1座,"TOWER 1, NO.15, HANG KWONG STREET, THE MET. BLISS, SHA TIN, NEW TERRITORIES",薈晴業主委員會,OWNERS' COMMITTEE OF THE MET. BLISS
新界沙田區馬錦街 9號 薈朗第1座,"TOWER 1, NO.9, MA KAM STREET , THE MET. BLOSSOM, SHA TIN, NEW TERRITORIES",薈朗業主委員會,OWNERS' COMMITTEE OF THE MET. BLOSSOM
新界西貢區 石角路6號峻瀅II,"The Beaumount II, NO.6, SHEK KOK ROAD, SAI KUNG, NEW TERRITORIES",峻瀅II業主委員會,OWNERS' COMMITTEE OF THE BEAUMOUNT II
新界大埔區科進路 21號逸瓏灣II,"Mayfair by the Sea II, NO.21, FO CHUN ROAD, TAI PO, NEW TERRITORIES",逸瓏灣II業主委員會,OWNERS' COMMITTEE OF MAYFAIR BY THE SEA II
九龍九龍城區馬頭角道50號迎豐,"THE ZUTTEN, NO.50, MA TAU KOK ROAD, KOWLOON CITY, KOWLOON",迎豐業主委員會．,THE OWNERS' COMMITTEE OF ZUTTEN
新界沙田區美禾圍39號伯爵堡 A屋,"HOUSE A, NO.39, MEI WO CIRCUIT, VOTRE PALAIS, SHA TIN, NEW TERRITORIES",伯爵堡業主委員會,OWNERS' COMMITTEE OF VOTRE PALAIS
九龍油尖旺區奶路臣街38號麥花臣匯,"MacPherson Place, NO.38, NELSON STREET, YAU TSIM MONG, KOWLOON",麥花臣匯業主委員會,MACPHERSON PLACE OWNERS COMMITTEE
香港島灣仔區司徒拔道53號傲璇,"OPUS, NO.53, STUBBS ROAD, WAN CHAI, HONG KONG",傲璇業主委員會,THE OWNER'S COMMITTEE OF OPUS HONG KONG
香港島灣仔區成和道69號嘉逸軒,"Le Cachet, NO.69, SING WOO ROAD, WAN CHAI, HONG KONG",嘉逸軒業主委員會,THE OWNERS' COMMITTEE OF LE CACHET
九龍九龍城區沐寧街9號龍譽  第1A座,"TOWER 1A, NO.9, MUK NING STREET,  VIBE CENTRO, KOWLOON CITY, KOWLOON",龍譽業主委員會,THE OWNERS' COMMITTEE OF VIBE CENTRO
香港島南區18A號海怡東商場,"South Horizons East Commercial Block, NO.18A, SOUTHERN, HONG KONG",海怡東商場業主委員會,SOUTH HORIZONS EAST COMMERCIAL BLOCK OWNERS' COMMITTEE
香港島灣仔區聚文街8號帝華閣,"Majestic Court, NO.8, TSUI MAN STREET, WAN CHAI, HONG KONG",帝華閣業主委員會,THE OWNER'S COMMITTEE OF MAJESTIC COURT
新界大埔區科進路23號號逸瓏灣I,"Mayfair by the Sea I, NO.23, FO CHUN ROAD, TAI PO, NEW TERRITORIES",逸瓏灣I業主委員會,OWNER'S COMMITTEE OF MAYFAIR BY THE SEA I
新界屯門區良德街8號珀御,"Eight Regency, NO.8, LEUNG TAK STREET, TUEN MUN, NEW TERRITORIES",珀御業主委員會,EIGHT REGENCY OWNERS' COMMITTEE
新界荃灣區大河道18號地皇廣場(Commercial),"t.mark (Commercial), NO.18, TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",地皇廣場業主委員會,T.MARK OWNERS' COMMITTEE
新界荃灣區國瑞路168號縉庭山第一座.,"BLOCK 1, Primrose Hill, NO.168, KWOK SHUI ROAD, TSUEN WAN, NEW TERRITORIES",縉庭山業主委員會,PRIMROSE HILL OWNER'S COMMITTEE
新界西貢區至善街 3號Savannah,"Savannah, NO.3, CHI SHIN STREET, SAI KUNG, NEW TERRITORIES",Savannah 業主委員會,SAVANNAH OWNERS' COMMITTEE
新界西貢區唐俊街18號The Parkside,"The Parkside, NO.18, TONG CHUN STREET, SAI KUNG, NEW TERRITORIES",The Parkside 業主委員會,THE PARKSIDE OWNERS' COMMITTEE
新界西貢區至善街 19號天晉IIIB,"The Wings IIIB, NO.19, CHI SHIN STREET, SAI KUNG, NEW TERRITORIES",天晉IIIB業主委員會,THE WINGS IIIB OWNERS' COMMITTEE
新界西貢區唐俊街28號海天晉,"Ocean Wings, NO.28, TONG CHUN STREET, SAI KUNG, NEW TERRITORIES",海天晉業主委員會,OCEAN WINGS OWNERS' COMMITTEE
新界西貢區唐俊街21號海翩匯,"Papillons, NO.21, TONG CHUN STREET, SAI KUNG, NEW TERRITORIES",海翩匯業主委員會,PAPILLONS OWNERS' COMMITTEE
新界西貢區唐賢街29號藍塘傲,"Alto Residence, NO.29, TONG YIN STREET, NA, SAI KUNG, NEW TERRITORIES",藍塘傲業主委員會,ALTO RESIDENCES OWNERS' COMMITTEE
新界北區順隆街31號尚澄第三座,"TOWER 3, Marin Point, NO.31, SHUN LUNG STREET, NORTH, NEW TERRITORIES",尚澄業主委員會,THE OWNERS' COMMITTEE OF MARIN POINT
香港島東區 北角繼園街 1號柏蔚山 第1座,"Fleur Pavilia, NO.1, KAI YUEN STREET, NORTH POINT,  TOWER 1 , EASTERN, HONG KONG",柏蔚山業主委員會,FLEUR PAVILIA OWNERS' COMMITTEE
香港島東區筲箕灣柴灣道  33號 香島第一座,"Block 1, NO.33 CHAI WAN ROAD, SHAUKEIWAN, ISLAND GARDEN, EASTERN, HONG KONG",香島業主委員會,ISLAND GARDEN OWNERS' COMMITTEE
香港島東區西灣河成安街  33號柏匯,"Parker33, NO.33, SHING ON STREET, SAI WAN HO , EASTERN, HONG KONG",柏匯業主委員會,PARKER33 OWNERS' COMMITTEE
香港島中西區卑路乍街68號,"IMPERIAL KENNEDY, NO.68, BELCHER'S STREET, CENTRAL AND WESTERN, HONG KONG",IMPERIAL KENNEDY業主委員會,THE OWNERS' COMMITTEE OF IMPERIAL KENNEDY
新界西貢區至善街 9號嘉悅,"Twin Peaks, NO.9, CHI SHIN STREET, SAI KUNG, NEW TERRITORIES",嘉悅業主委員會,TWIN PEAKS OWNERS' COMMITTEE
新界北區馬適路1號逸峯,"NO.1, MA SIK ROAD, GREEN CODE, NORTH, NEW TERRITORIES",逸峯業主委員會,OWNERS' COMMITTEE OF GREEN CODE
九龍油尖旺區KML84東安街38號安蘭閣,"ORCHID COURT, NO.38, TUNG ON STREET, KML, 84, YAU TSIM MONG, KOWLOON",安蘭閣業主委員會,
新界屯門區良德街3號豐連,"ORI, NO.3, LEUNG TAK STREET, TUEN MUN, NEW TERRITORIES",豐連業主委員會,ORI OWNERS' COMMITTEE
新界元朗區青山公路潭尾段  18號1A期峻巒11A座,"TOWER 11A, PHASE 1A, NO.18, TAN MEI SECTION, CASTLE PEAK ROAD, PARK YOHO, YUEN LONG, NEW TERRITORIES",PARK YOHO業主委員會,PARK YOHO OWNERS' COMMITTEE
新界元朗區唐人新村路138號柏   3座,"BLOCK 3, NO.138, TONG YAN SAN TSUEN ROAD, THE PARKHILL , YUEN LONG, NEW TERRITORIES",柏 業主委員會,THE PARKHILL OWNERS' COMMITTEE
新界沙田區李屋村38號沙田豪苑第1座,"HOUSE 1, 38, LEE UK VILLAGE, RICHMOND VILLA, SHA TIN, NEW TERRITORIES",沙田豪苑業主委員會,RICHMOND VILLA OWNERS' COMMITTEE
新界荃灣區大河道100號海之戀．愛炫美第1座,"Tower 1, Ocean Pride Phase 2 (Ocean Supreme), NO.100, TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",海之戀業主委員會,OCEAN PRIDE OWNERS' COMMITTEE
新界荃灣區大河道98號全‧城匯 全‧城匯 第一座,"PARC CITY (Tower 1), NO.98, TAI HO ROAD, PARC CITY , TSUEN WAN, NEW TERRITORIES",全．城滙業主委員會,PARC CITY OWNERS' COMMITTEE
香港島中西區德輔道西321號瑧璈,"BOHEMIAN HOUSE, NO.321, DES VOEUX  ROAD WEST, CENTRAL AND WESTERN, HONG KONG",瑧璈業主委員會,BOHEMIAN HOUSE OWNER'S COMMITTEE
香港島灣仔區浣紗街55號雍藝軒,"Villa d' Arte, NO.55, WUN SHA STREET, WAN CHAI, HONG KONG",雍藝軒業主委員會,OWNERS' COMMITTEE OF VILLA D'ARTE
香港島南區淺水灣道3號,"NO.3, REPULSE BAY ROAD, SOUTHERN, HONG KONG",淺水灣道3號業主委員會,NO. 3 REPULSE BAY ROAD OWNER'S COMMITTEE
新界元朗區朗日路9號第1期GRAND YOHO 1座,"BLOCK 1, PHASE 1, NO.9, LONG YAT ROAD, GRAND YOHO , YUEN LONG, NEW TERRITORIES",GRAND YOHO業主委員會,GRAND YOHO OWNERS' COMMITTEE
香港島中西區皇后大道西460號翰林峰1座,"TOWER 1, NOVUM WEST, NO.460, QUEEN'S ROAD WEST, CENTRAL AND WESTERN, HONG KONG",翰林峰業主委員會,THE OWNERS' COMMITTEE OF NOVUM WEST
香港島中西區干德道16-18號,"CONDUIT ROAD 18, NO.16-18, CONDUIT ROAD, CENTRAL AND WESTERN, HONG KONG",CONDUIT 18 業主委員會,THE OWNERS' COMMITTEE OF CONDUIT 18
香港島中西區些利街21號些利閣,"SHELLEY COURT, NO.21, SHELLEY STREET, CENTRAL AND WESTERN, HONG KONG",些利閣業主委員會,THE OWNERS' COMMITTEE OF SHELLEY COURT
香港島中西區列拿士地臺1號帝華臺,"THE REDNAXELA, NO.1, REDNAXELA TERRACE, CENTRAL AND WESTERN, HONG KONG",帝華臺業主委員會,THE OWNERS' COMMITTEE OF THE REDNAXELA
香港島中西區IL4629西摩道9號懿峯,"Seymour, NO.9, SEYMOUR ROAD, 4629, IL, CENTRAL AND WESTERN, HONG KONG",懿峯業主委員會,THE OWNERS' COMMITTEE OF SEYMOUR
香港中西區ML58和風街1號盈峰一號,"ONE PACIFIC HEIGHTS, NO.1, WO FUNG STREET, ML, 58, CENTRAL AND WESTERN, HONG KONG",盈峰一號業主委員會,THE OWNERS' COMMITTEE OF ONE PACIFIC HEIGHTS
香港島中西區羅便臣道31號,"NO.31, ROBINSON ROAD, CENTRAL AND WESTERN, HONG KONG",羅便臣道31號業主委員會,THE OWNERS' COMMITTEE OF 31 ROBINSON ROAD
香港島中西區芝古臺3號,"NO.3, CHICO TERRACE, CENTRAL AND WESTERN, HONG KONG",芝古臺3號業主委員會,THE OWNERS' COMMITTEE OF NO. 3 CHICO TERRACE
香港島中西區英輝臺2-3號蔚晴軒,"Bella Vista, NO.2-3, YING FAI TERRACE, CENTRAL AND WESTERN, HONG KONG",蔚晴軒業主委員會,THE OWNERS' COMMITTEE OF BELLA VISTA
香港島中西區西摩道1號輝煌臺,"FAIR VIEW HEIGHT, NO.1, SEYMOUR ROAD, CENTRAL AND WESTERN, HONG KONG",輝煌臺業主委員會,THE OWNERS' COMMITTEE OF FAIR VIEW HEIGHT
香港島中西區西摩道3號輝煌豪園,"Palatial Crest, NO.3, SEYMOUR ROAD, CENTRAL AND WESTERN, HONG KONG",輝煌豪園業主委員會,THE OWNERS' COMMITTEE OF PALATIAL CREST
新界元朗區十八鄉路11號尚悅第一座,"NO.11, SHAP PAT HEUNG ROAD, THE REACH(TOWER 1), YUEN LONG, NEW TERRITORIES",尚悅業主委員會,THE REACH OWNERS' COMMITTEE
新界大埔區科進路16號嘉熙 1座,"TOWER 1, NO.16, FO CHUN ROAD, SOLARIA, TAI PO, NEW TERRITORIES",嘉熙業主委員會,SOLARIA OWNER COMMITTEE
新界葵青區興芳路178號豐寓,"Edition 178, NO.178, HING FONG ROAD, KWAI TSING, NEW TERRITORIES",豐寓業主委員會,EDITION 178 OWNERS' COMMITTEE
香港島中西區寶雲道2B號寶雲山莊,"Fairlane Tower, NO.2B, BOWEN ROAD, CENTRAL AND WESTERN, HONG KONG",寶雲山莊業主委員會,OWNERS' COMMITTEE OF FAIRLANE TOWER
新界元朗區大棠道 紅棗田村 振華花苑二期,"TAI TONG ROAD , Hung Tso Tin Tsuen, CHUN WAH VILLAS PHASE 2  , YUEN LONG, NEW TERRITORIES",振華花苑二期業主委員會,CHUN WAH VILLAS PHASE 2 OWNERS' COMMITTEE
新界元朗區洪水橋洪元路 88號泉薈,"NO.88, HUNG SHUI KIU HUNG YUEN ROAD, PARK NARA, YUEN LONG, NEW TERRITORIES",泉薈業主委員會,PARK NARA OWNERS' COMMITTEE
新界元朗區永隆圍208號芭堤雅,"208, WING LUNG WAI, PATTAYA, YUEN LONG, NEW TERRITORIES",芭堤雅業主委員會,PATTAYA OWNERS' COMMITTEE
新界元朗區錦田公路183號四季名園,"NO.183, KAM TIN ROAD, SEASONS MONARCH, YUEN LONG, NEW TERRITORIES",四季名園業主委員會,SEASONS MONARCH OWNERS' COMMITTEE
香港島南區環角道33號,"NO.33, CAPE ROAD, SOUTHERN, HONG KONG",環角道33號業主委員會,NO. 33 CAPE ROAD OWNERS' COMMITTEE
九龍深水埗區福華街571號曉悅,"High One, NO.571, FUK WA STREET, SHAM SHUI PO, KOWLOON",曉悅業主委員會,
九龍深水埗區NKIL1175青山道468號,"One New York, NO.468, CASTLE PEAK ROAD, 1175, NKIL, SHAM SHUI PO, KOWLOON",ONE NEW YORK 業主委員會,OWNERS' COMMITTEE OF ONE NEW YORK
新界元朗區崇正新村218號顯峯居,"218 SHUNG CHING SAN TSUEN, REGALIA COURT , YUEN LONG, NEW TERRITORIES",顯峯居業主委員會,REGALIA COURT OWNERS' COMMITTEE
新界元朗區屏山輞井村328號  碧翠華庭,"328 MONG TSENG TSUEN, 328 Mong Tseng Tsuen, Ping Shan , EMERALD VILLA , YUEN LONG, NEW TERRITORIES",碧翠華庭業主委員會,EMERALD VILLA OWNERS' COMMITTEE
新界元朗區錦繡大道3號御翠園,"NO.3, FAIRVIEW PARK BOULEVARD, GREENERY GARDENS, YUEN LONG, NEW TERRITORIES",御翠園業主委員會,GREENERY GARDENS OWNERS' COMMITTEE
新界元朗區橫洲擴展新區333號地利黃金閣,"WANG CHAU VILLAGE EXT AREA 333, PRESTIGE, YUEN LONG, NEW TERRITORIES",地利黃金閣業主委員會,PRESTIGE OWNERS' COMMITTEE
新界元朗區八鄉錦上路蓮花地369號錦上華巒,"KAM SHEUNG ROAD, PAT HEUNG, 369 LIN FA TEI, LOTUS HILL , YUEN LONG, NEW TERRITORIES",錦上華巒業主委員會,LOTUS HILL OWNERS' COMMITTEE
新界西貢區康城路1號第4期晉海1A座1A座,"BLOCK 1A, BLOCK 1A WINGS AT SEA, PHASE 4, NO.1, LOHAS PARK ROAD, SAI KUNG, NEW TERRITORIES",晉海業主附屬委員會,WINGS AT SEA OWNERS SUB-COMMITTEE
香港南區RBL1161香島道33號1座,"HOUSE 1, NO.33, ISLAND ROAD, RBL1161, SOUTHERN, HONG KONG",香島道33號業主委員會,NO. 33 ISLAND ROAD OWNERS' COMMITTEE
新界西貢區唐俊街23號Monterey,"Monterey, NO.23, TONG CHUN STREET, SAI KUNG, NEW TERRITORIES",Monterey 業主委員會,MONTEREY OWNERS' COMMITTEE
新界元朗區錦上路石湖塘222號 玄新和庭,"iLife, KAM SHEUNG ROAD, SHEK WU TONG 222, YUEN LONG, NEW TERRITORIES",玄新和庭業主委員會,ILIFE OWNERS' COMMITTEE
新界元朗區號錦田水頭村 水簾,"La Cascade, KAM TIN SHUI TAU TSUEN , YUEN LONG, NEW TERRITORIES",水簾業主委員會,LA CASCADE OWNERS' COMMITTEE
新界屯門區青棉徑2號菁雋,"T-plus, NO.2, TSING MIN PATH, TUEN MUN, NEW TERRITORIES",菁雋業主委員會,OWNERS' COMMITTEE OF T-PLUS
新界沙田區小瀝源路63號綠怡雅苑 第一座,"TOWER 1, NO.63, SIU LEK YUEN ROAD, GREENHILL VILLA, SHA TIN, NEW TERRITORIES",綠怡雅苑業主委員會,GREENHILL VILLA OWNERS' COMMITTEE
新界大埔區科進路18號Phase I 1海日灣,"PHASE 1, 1, NO.18, FO CHUN ROAD, THE HORIZON , TAI PO, NEW TERRITORIES",海日灣一期業主委員會,THE HORIZON OWNER'S COMMITTEE
新界西貢區康城路1號日出康城MALIBU第1座第1座,"BLOCK 1, Block 1 MALIBU, NO.1, LOHAS PARK ROAD, SAI KUNG, NEW TERRITORIES",MALIBU業主附屬委員會,MALIBU OWNERS' SUB-COMMITTEE
新界離島區尚堤愉景灣珀蘆,"The Barion, DISCOVERY BAY, ISLANDS, NEW TERRITORIES",尚堤村業主委員會,CHIANTI VILLAGE OWNERS' COMMITTEE
